video,target,score,margin
beat_25_p02.mp4,beat_01_p01,0.2962,-0.0137
beat_39_p01.mp4,beat_02_p01,0.2801,-0.0264
beat_28_p04.mp4,beat_02_p02,0.2912,0.013
beat_20_p02.mp4,beat_03_p01,0.2879,-0.0136
beat_59_p01.mp4,beat_03_p02,0.2314,-0.0028
beat_20_p04.mp4,beat_04_p01,0.302,0.0
beat_33_p04.mp4,beat_05_p01,0.2943,-0.0014
beat_56_p01.mp4,beat_05_p02,0.2559,-0.0253
beat_42_p04.mp4,beat_06_p01,0.2611,-0.0089
beat_53_p04.mp4,beat_06_p02,0.2822,-0.0242
beat_27_p01.mp4,beat_07_p01,0.2943,-0.0267
beat_30_p01.mp4,beat_07_p02,0.2643,-0.0046
beat_06_p02.mp4,beat_08_p01,0.2783,-0.0112
beat_49_p02.mp4,beat_08_p02,0.2935,-0.0072
beat_32_p02.mp4,beat_09_p01,0.3367,0.0445
beat_33_p02.mp4,beat_10_p01,0.3182,0.0056
beat_33_p05.mp4,beat_10_p02,0.2761,0.0181
beat_34_p03.mp4,beat_11_p01,0.2796,0.0
beat_22_p01.mp4,beat_11_p02,0.2741,0.011
beat_24_p04.mp4,beat_12_p01,0.2916,0.0
beat_27_p02.mp4,beat_13_p01,0.3103,0.0125
beat_29_p01.mp4,beat_13_p02,0.3036,0.0
beat_30_p05.mp4,beat_14_p01,0.3299,0.0478
beat_31_p04.mp4,beat_15_p01,0.3038,0.0
beat_32_p03.mp4,beat_15_p02,0.3114,0.0051
beat_19_p03.mp4,beat_16_p01,0.2346,-0.0133
beat_33_p03.mp4,beat_17_p01,0.3371,0.0411
beat_34_p01.mp4,beat_17_p02,0.2834,0.0
beat_11_p01.mp4,beat_17_p03,0.2641,-0.0086
beat_17_p03.mp4,beat_17_p04,0.2693,-0.0135
beat_28_p01.mp4,beat_18_p01,0.2534,0.0098
beat_29_p02.mp4,beat_18_p02,0.2824,0.0
beat_30_p02.mp4,beat_18_p03,0.3173,-0.0189
beat_31_p01.mp4,beat_19_p01,0.2847,0.013
beat_22_p03.mp4,beat_19_p02,0.3005,0.0122
beat_24_p06.mp4,beat_19_p03,0.346,0.0552
beat_28_p02.mp4,beat_19_p04,0.2798,0.0
beat_35_p01.mp4,beat_20_p01,0.3135,0.0
beat_20_p01.mp4,beat_20_p02,0.2969,0.0019
beat_25_p01.mp4,beat_20_p03,0.3258,0.0201
beat_28_p03.mp4,beat_20_p04,0.2944,-0.0045
beat_23_p01.mp4,beat_21_p01,0.288,-0.0145
beat_30_p03.mp4,beat_22_p01,0.2478,-0.0228
beat_31_p02.mp4,beat_22_p02,0.3144,0.034
beat_32_p01.mp4,beat_22_p03,0.2981,0.0392
beat_33_p01.mp4,beat_23_p01,0.2969,-0.0045
beat_24_p03.mp4,beat_24_p01,0.2797,-0.0054
beat_24_p02.mp4,beat_24_p02,0.2366,0.0
beat_36_p02.mp4,beat_24_p03,0.2945,0.0277
beat_36_p03.mp4,beat_24_p04,0.3149,0.0314
beat_37_p01.mp4,beat_24_p05,0.2602,0.0
beat_37_p02.mp4,beat_24_p06,0.2882,0.0
beat_18_p02.mp4,beat_25_p01,0.2724,-0.0058
beat_52_p01.mp4,beat_25_p02,0.3043,0.0
beat_38_p02.mp4,beat_26_p01,0.3112,0.0075
beat_38_p03.mp4,beat_27_p01,0.2917,0.0
beat_21_p01.mp4,beat_27_p02,0.2955,-0.0047
beat_01_p01.mp4,beat_28_p01,0.306,0.0077
beat_18_p03.mp4,beat_28_p02,0.2738,-0.0081
beat_39_p03.mp4,beat_28_p03,0.2663,0.0
beat_40_p01.mp4,beat_28_p04,0.2977,-0.0008
beat_17_p02.mp4,beat_29_p01,0.2521,-0.014
beat_40_p02.mp4,beat_29_p02,0.346,0.0556
beat_40_p03.mp4,beat_29_p03,0.2593,-0.017
beat_41_p01.mp4,beat_30_p01,0.3432,0.0408
beat_41_p02.mp4,beat_30_p02,0.3054,0.0065
beat_41_p03.mp4,beat_30_p03,0.2854,0.0084
beat_41_p04.mp4,beat_30_p04,0.2951,0.0004
beat_41_p05.mp4,beat_30_p05,0.2847,-0.0302
beat_19_p04.mp4,beat_31_p01,0.298,-0.0203
beat_42_p02.mp4,beat_31_p02,0.3015,0.0207
beat_42_p03.mp4,beat_31_p03,0.3654,0.0284
beat_44_p02.mp4,beat_31_p04,0.2728,-0.0108
beat_42_p05.mp4,beat_32_p01,0.2644,0.0008
beat_20_p03.mp4,beat_32_p02,0.3001,0.0
beat_43_p01.mp4,beat_32_p03,0.2967,0.0032
beat_43_p02.mp4,beat_33_p01,0.3058,0.0239
beat_44_p01.mp4,beat_33_p02,0.3077,0.0136
beat_09_p01.mp4,beat_33_p03,0.3247,0.0155
beat_44_p03.mp4,beat_33_p04,0.302,0.0257
beat_45_p01.mp4,beat_33_p05,0.3279,0.0389
beat_46_p01.mp4,beat_34_p01,0.3028,0.0391
beat_46_p02.mp4,beat_34_p02,0.2627,0.0014
beat_46_p03.mp4,beat_34_p03,0.3735,0.0511
beat_24_p01.mp4,beat_35_p01,0.3414,0.0
beat_48_p01.mp4,beat_36_p01,0.31,-0.0046
beat_48_p02.mp4,beat_36_p02,0.392,0.0398
beat_48_p03.mp4,beat_36_p03,0.329,0.0
beat_49_p01.mp4,beat_37_p01,0.3347,0.0266
beat_65_p02.mp4,beat_37_p02,0.277,-0.032
beat_49_p03.mp4,beat_37_p03,0.3096,0.0102
beat_50_p01.mp4,beat_38_p01,0.2862,0.0344
beat_47_p01.mp4,beat_38_p02,0.2675,-0.0184
beat_50_p03.mp4,beat_38_p03,0.2563,-0.0248
beat_51_p01.mp4,beat_38_p04,0.3113,0.0
beat_63_p01.mp4,beat_39_p01,0.3321,0.0293
beat_26_p01.mp4,beat_39_p02,0.3095,-0.0119
beat_53_p01.mp4,beat_39_p03,0.3158,0.0254
beat_53_p02.mp4,beat_40_p01,0.3191,0.026
beat_37_p03.mp4,beat_40_p02,0.2697,-0.0171
beat_53_p03.mp4,beat_40_p03,0.2705,0.0185
beat_50_p02.mp4,beat_41_p01,0.2641,-0.0132
beat_55_p01.mp4,beat_41_p02,0.2874,0.0475
beat_38_p04.mp4,beat_41_p03,0.2627,-0.0019
beat_56_p02.mp4,beat_41_p04,0.282,0.0054
beat_54_p01.mp4,beat_41_p05,0.26,-0.0111
beat_57_p02.mp4,beat_42_p01,0.3074,0.0059
beat_57_p03.mp4,beat_42_p02,0.3105,0.0097
beat_11_p02.mp4,beat_42_p03,0.3024,0.0415
beat_58_p02.mp4,beat_42_p04,0.287,-0.0102
beat_08_p02.mp4,beat_42_p05,0.2868,-0.0064
beat_58_p03.mp4,beat_43_p01,0.2902,0.0462
beat_58_p04.mp4,beat_43_p02,0.3204,0.0
beat_60_p01.mp4,beat_44_p01,0.2511,0.0
beat_59_p02.mp4,beat_44_p02,0.2725,0.0074
beat_02_p01.mp4,beat_44_p03,0.2569,-0.0012
beat_42_p01.mp4,beat_45_p01,0.3272,-0.0019
beat_61_p01.mp4,beat_46_p01,0.2854,0.0112
beat_61_p02.mp4,beat_46_p02,0.2486,0.0135
beat_62_p01.mp4,beat_46_p03,0.2754,0.0239
beat_62_p02.mp4,beat_47_p01,0.346,0.0304
beat_39_p02.mp4,beat_48_p01,0.2876,-0.0049
beat_63_p02.mp4,beat_48_p02,0.3449,0.055
beat_64_p01.mp4,beat_48_p03,0.276,-0.0129
beat_64_p02.mp4,beat_49_p01,0.3208,0.0352
beat_65_p01.mp4,beat_49_p02,0.3141,0.0092
beat_17_p01.mp4,beat_49_p03,0.2305,-0.0145
beat_36_p01.mp4,beat_50_p01,0.2777,-0.0292
beat_65_p03.mp4,beat_50_p02,0.287,0.0
beat_66_p01.mp4,beat_50_p03,0.3422,0.0096
beat_66_p02.mp4,beat_51_p01,0.2993,0.0398
beat_67_p01.mp4,beat_52_p01,0.3001,0.0048
beat_12_p01.mp4,beat_52_p02,0.3135,-0.0046
beat_02_p02.mp4,beat_53_p01,0.3716,0.0518
beat_57_p01.mp4,beat_53_p02,0.2597,-0.0086
beat_03_p01.mp4,beat_53_p03,0.2808,0.0172
beat_03_p02.mp4,beat_53_p04,0.3372,0.028
beat_04_p01.mp4,beat_54_p01,0.3749,0.047
beat_05_p01.mp4,beat_55_p01,0.3131,-0.0003
beat_13_p02.mp4,beat_56_p01,0.309,0.0386
beat_06_p01.mp4,beat_56_p02,0.3124,-0.0043
beat_13_p01.mp4,beat_57_p01,0.2916,-0.0004
beat_52_p02.mp4,beat_57_p02,0.3179,0.0123
beat_07_p01.mp4,beat_57_p03,0.3069,0.0
beat_07_p02.mp4,beat_58_p01,0.3159,0.0071
beat_08_p01.mp4,beat_58_p02,0.3219,0.0498
beat_14_p01.mp4,beat_58_p03,0.3074,-0.016
beat_15_p01.mp4,beat_58_p04,0.3383,0.0
beat_05_p02.mp4,beat_59_p01,0.2525,-0.0226
beat_29_p03.mp4,beat_59_p02,0.2558,-0.0085
beat_10_p01.mp4,beat_60_p01,0.2998,0.0331
beat_10_p02.mp4,beat_61_p01,0.3328,0.0043
beat_19_p02.mp4,beat_61_p02,0.2711,0.0021
beat_15_p02.mp4,beat_62_p01,0.2812,0.0205
beat_16_p01.mp4,beat_62_p02,0.224,-0.0283
beat_38_p01.mp4,beat_63_p01,0.2788,-0.0168
beat_31_p03.mp4,beat_63_p02,0.2639,-0.0026
beat_58_p01.mp4,beat_64_p01,0.2526,-0.0174
beat_24_p05.mp4,beat_64_p02,0.3185,0.0009
beat_17_p04.mp4,beat_65_p01,0.2572,0.0082
beat_30_p04.mp4,beat_65_p02,0.3055,-0.0111
beat_18_p01.mp4,beat_65_p03,0.2541,-0.0011
beat_22_p02.mp4,beat_66_p01,0.2743,-0.0033
beat_19_p01.mp4,beat_66_p02,0.287,0.0182
beat_34_p02.mp4,beat_67_p01,0.3041,-0.021
