video,target,score,margin
beat_01_p01.mp4,beat_01_p01,ANCHOR,USER
beat_02_p01.mp4,beat_02_p01,ANCHOR,USER
beat_05_p01.mp4,beat_05_p01,ANCHOR,USER
beat_02_p02.mp4,beat_24_p01,0.2072,-0.0081
beat_03_p01.mp4,beat_24_p05,0.2257,-0.0037
beat_03_p02.mp4,beat_56_p01,0.2173,-0.0008
beat_04_p01.mp4,beat_33_p02,0.196,-0.0029
beat_05_p02.mp4,beat_28_p02,0.2226,-0.0038
beat_06_p01.mp4,beat_33_p05,0.2218,-0.0009
beat_06_p02.mp4,beat_21_p01,0.2161,-0.0048
beat_07_p01.mp4,beat_16_p01,0.2154,-0.0016
beat_07_p02.mp4,beat_07_p02,0.225,-0.0
beat_08_p01.mp4,beat_18_p03,0.2351,-0.0019
beat_08_p02.mp4,beat_17_p02,0.2183,-0.003
beat_09_p01.mp4,beat_41_p01,0.1953,-0.0002
beat_10_p01.mp4,beat_09_p01,0.2041,-0.0046
beat_10_p02.mp4,beat_61_p01,0.2097,0.0004
beat_11_p01.mp4,beat_34_p03,0.202,-0.0018
beat_11_p02.mp4,beat_57_p03,0.2142,-0.0003
beat_12_p01.mp4,beat_11_p02,0.2119,-0.001
beat_13_p01.mp4,beat_30_p05,0.2101,-0.0
beat_13_p02.mp4,beat_42_p05,0.2228,-0.0
beat_14_p01.mp4,beat_32_p02,0.2114,-0.0023
beat_15_p01.mp4,beat_32_p03,0.2116,-0.0027
beat_15_p02.mp4,beat_11_p01,0.2337,0.002
beat_16_p01.mp4,beat_58_p03,0.2074,-0.0007
beat_17_p01.mp4,beat_38_p02,0.233,-0.0031
beat_17_p02.mp4,beat_41_p04,0.2102,-0.0028
beat_17_p03.mp4,beat_49_p02,0.2257,-0.0051
beat_17_p04.mp4,beat_41_p03,0.2086,-0.0014
beat_18_p02.mp4,beat_29_p01,0.2218,-0.0038
beat_18_p03.mp4,beat_15_p01,0.2117,-0.0041
beat_19_p01.mp4,beat_32_p01,0.2188,-0.0004
beat_19_p02.mp4,beat_54_p01,0.2118,0.0
beat_19_p03.mp4,beat_24_p03,0.2439,-0.0073
beat_19_p04.mp4,beat_38_p03,0.2097,-0.0022
beat_20_p01.mp4,beat_22_p02,0.2477,-0.0058
beat_20_p02.mp4,beat_38_p04,0.2376,-0.0003
beat_20_p03.mp4,beat_42_p02,0.2166,-0.0018
beat_20_p04.mp4,beat_50_p01,0.2248,-0.0003
beat_21_p01.mp4,beat_42_p01,0.231,-0.0008
beat_22_p01.mp4,beat_18_p01,0.2269,-0.0015
beat_22_p02.mp4,beat_19_p02,0.1953,-0.0028
beat_22_p03.mp4,beat_46_p03,0.2083,0.0008
beat_23_p01.mp4,beat_03_p01,0.2268,-0.0065
beat_24_p01.mp4,beat_24_p06,0.212,-0.0047
beat_24_p02.mp4,beat_48_p03,0.2335,-0.0043
beat_24_p03.mp4,beat_23_p01,0.2193,-0.0033
beat_24_p04.mp4,beat_58_p01,0.2177,0.0005
beat_24_p05.mp4,beat_57_p01,0.2323,0.0009
beat_24_p06.mp4,beat_50_p03,0.2051,-0.0007
beat_25_p01.mp4,beat_08_p01,0.2151,-0.0018
beat_25_p02.mp4,beat_31_p03,0.1944,-0.0013
beat_26_p01.mp4,beat_27_p01,0.2302,-0.0016
beat_27_p01.mp4,beat_55_p01,0.2152,0.0025
beat_27_p02.mp4,beat_46_p02,0.2245,-0.0004
beat_28_p01.mp4,beat_40_p01,0.2302,0.0012
beat_28_p02.mp4,beat_26_p01,0.2207,-0.0058
beat_28_p03.mp4,beat_38_p01,0.2316,-0.0009
beat_28_p04.mp4,beat_08_p02,0.2007,-0.0078
beat_29_p01.mp4,beat_66_p02,0.22,-0.0012
beat_29_p02.mp4,beat_42_p04,0.1999,-0.0025
beat_29_p03.mp4,beat_48_p01,0.2201,0.0001
beat_30_p01.mp4,beat_45_p01,0.2092,0.0018
beat_30_p02.mp4,beat_25_p01,0.2226,-0.0046
beat_30_p03.mp4,beat_12_p01,0.2144,0.0
beat_30_p04.mp4,beat_62_p02,0.216,-0.0016
beat_30_p05.mp4,beat_20_p01,0.2014,-0.0077
beat_31_p01.mp4,beat_34_p02,0.2179,-0.0025
beat_31_p02.mp4,beat_28_p03,0.2194,-0.0024
beat_31_p03.mp4,beat_24_p02,0.1995,-0.0066
beat_31_p04.mp4,beat_15_p02,0.2088,-0.0029
beat_32_p01.mp4,beat_31_p02,0.207,-0.0017
beat_32_p03.mp4,beat_61_p02,0.2127,0.0003
beat_33_p01.mp4,beat_29_p03,0.2161,-0.0024
beat_33_p02.mp4,beat_37_p03,0.2244,-0.0021
beat_33_p03.mp4,beat_34_p01,0.202,-0.002
beat_33_p04.mp4,beat_44_p02,0.2429,0.0001
beat_33_p05.mp4,beat_49_p03,0.1988,0.0
beat_34_p01.mp4,beat_19_p04,0.2295,0.0
beat_34_p02.mp4,beat_67_p01,0.2079,0.0019
beat_34_p03.mp4,beat_39_p03,0.1986,-0.0009
beat_36_p01.mp4,beat_62_p01,0.2265,-0.0009
beat_36_p02.mp4,beat_66_p01,0.2302,0.0015
beat_36_p03.mp4,beat_48_p02,0.2107,-0.003
beat_37_p01.mp4,beat_40_p02,0.2113,0.0022
beat_37_p02.mp4,beat_41_p02,0.2175,-0.0011
beat_37_p03.mp4,beat_39_p02,0.2261,-0.0018
beat_38_p01.mp4,beat_24_p04,0.2024,-0.0047
beat_38_p02.mp4,beat_63_p02,0.2241,-0.0021
beat_38_p03.mp4,beat_53_p01,0.2195,-0.0002
beat_38_p04.mp4,beat_44_p03,0.2162,-0.0
beat_39_p01.mp4,beat_43_p02,0.2304,-0.0006
beat_39_p02.mp4,beat_53_p04,0.2118,0.0008
beat_39_p03.mp4,beat_20_p02,0.2385,-0.0037
beat_40_p01.mp4,beat_58_p04,0.216,-0.0001
beat_40_p02.mp4,beat_10_p01,0.2016,-0.0021
beat_40_p03.mp4,beat_53_p03,0.1925,0.0003
beat_41_p01.mp4,beat_37_p02,0.2283,-0.0024
beat_41_p02.mp4,beat_33_p04,0.2287,-0.0025
beat_41_p03.mp4,beat_30_p04,0.217,0.0
beat_41_p04.mp4,beat_33_p03,0.2047,-0.0008
beat_41_p05.mp4,beat_19_p03,0.2148,-0.0021
beat_42_p01.mp4,beat_22_p01,0.2316,-0.0077
beat_42_p02.mp4,beat_64_p01,0.2413,0.0009
beat_42_p03.mp4,beat_35_p01,0.2206,0.0
beat_42_p04.mp4,beat_59_p01,0.2082,0.0012
beat_42_p05.mp4,beat_28_p04,0.2079,-0.0013
beat_43_p01.mp4,beat_13_p02,0.2404,-0.0001
beat_43_p02.mp4,beat_40_p03,0.1914,-0.0002
beat_44_p01.mp4,beat_63_p01,0.2323,-0.0026
beat_44_p02.mp4,beat_28_p01,0.237,-0.0049
beat_44_p03.mp4,beat_52_p02,0.2208,-0.001
beat_45_p01.mp4,beat_51_p01,0.2065,-0.0013
beat_46_p01.mp4,beat_65_p03,0.2109,0.0
beat_46_p02.mp4,beat_33_p01,0.2219,-0.0001
beat_46_p03.mp4,beat_44_p01,0.213,-0.0024
beat_47_p01.mp4,beat_06_p02,0.2289,-0.0045
beat_48_p01.mp4,beat_29_p02,0.2295,-0.0039
beat_48_p02.mp4,beat_17_p04,0.2129,-0.0036
beat_48_p03.mp4,beat_65_p01,0.2286,-0.0003
beat_49_p01.mp4,beat_14_p01,0.2143,-0.004
beat_49_p02.mp4,beat_31_p01,0.2146,-0.0008
beat_49_p03.mp4,beat_59_p02,0.2123,-0.0001
beat_50_p01.mp4,beat_31_p04,0.2118,-0.0011
beat_50_p02.mp4,beat_18_p02,0.2135,-0.0049
beat_50_p03.mp4,beat_17_p03,0.2186,-0.0033
beat_51_p01.mp4,beat_30_p02,0.1993,-0.002
